hour_of_day,failed_login_attempts,data_transfer_mb,file_access_count,network_connections,distinct_files_touched,is_after_hours,is_known_device,cpu_spike_percent,risk_score,severity,is_anomalous,source,raw_message,file_path
18,0,37.21,5,1,1,0,1,0.0,7.65,normal,0,file_scan,File access: /home/user/notes/meeting_minutes.docx touched 1 related files by SRV-DB-PRIMARY at hour 18:00 (37.21MB transferred).,/home/user/notes/meeting_minutes.docx
13,0,23.95,6,1,3,0,1,20.0,8.63,normal,0,log_monitor,"Login node WKSTN-01: 0 failed attempts, 1 active connections, 6 file operations in session (after-hours=no).",
8,0,22.32,4,6,4,0,1,25.2,19.78,normal,0,log_monitor,"Login node WKSTN-01: 0 failed attempts, 6 active connections, 4 file operations in session (after-hours=no).",
18,0,4.61,5,2,2,0,1,55.0,4.55,normal,0,file_scan,File access: /var/log/app/access.log touched 2 related files by SRV-DB-PRIMARY at hour 18:00 (4.61MB transferred).,/var/log/app/access.log
18,0,18.18,6,3,2,0,1,53.4,2.31,normal,0,file_scan,File access: /tmp/build_cache/output.json touched 2 related files by SRV-DB-PRIMARY at hour 18:00 (18.18MB transferred).,/tmp/build_cache/output.json
8,0,7.55,1,6,4,0,1,31.0,15.89,normal,0,file_scan,File access: /var/log/app/access.log touched 4 related files by WKSTN-02 at hour 08:00 (7.55MB transferred).,/var/log/app/access.log
17,0,10.97,2,3,6,0,1,43.6,15.99,normal,0,log_monitor,"Login node WKSTN-01: 0 failed attempts, 3 active connections, 2 file operations in session (after-hours=no).",
14,0,27.27,3,2,1,0,1,43.4,4.05,normal,0,file_scan,File access: /tmp/build_cache/output.json touched 1 related files by WKSTN-02 at hour 14:00 (27.27MB transferred).,/tmp/build_cache/output.json
9,1,16.24,6,3,3,0,1,0.0,20.34,normal,0,file_scan,File access: /home/user/notes/meeting_minutes.docx touched 3 related files by LAPTOP-ADMIN at hour 09:00 (16.24MB transferred).,/home/user/notes/meeting_minutes.docx
20,5,824.01,31,20,17,0,1,8.5,100.0,critical,1,file_scan,File access: /var/backups/customer_pii.csv touched 17 related files by LAPTOP-ADMIN at hour 20:00 (824.01MB transferred).,/var/backups/customer_pii.csv
15,0,99.23,4,1,1,0,1,36.5,2.13,normal,0,log_monitor,"Login node LAPTOP-ADMIN: 0 failed attempts, 1 active connections, 4 file operations in session (after-hours=no).",
5,1,156.22,12,6,12,1,1,16.9,49.71,suspicious,1,log_monitor,"Login node SRV-DB-PRIMARY: 1 failed attempts, 6 active connections, 12 file operations in session (after-hours=yes).",
12,0,18.15,8,3,0,0,1,46.3,4.79,normal,0,file_scan,File access: /home/user/reports/Q3_summary.pdf touched 0 related files by LAPTOP-ADMIN at hour 12:00 (18.15MB transferred).,/home/user/reports/Q3_summary.pdf
8,0,62.44,5,4,8,0,1,32.1,17.19,normal,0,file_scan,File access: /home/user/notes/meeting_minutes.docx touched 8 related files by LAPTOP-ADMIN at hour 08:00 (62.44MB transferred).,/home/user/notes/meeting_minutes.docx
19,4,42.31,15,7,4,0,0,32.0,68.76,critical,1,log_monitor,"Login node UNKNOWN-HOST: 4 failed attempts, 7 active connections, 15 file operations in session (after-hours=no).",
15,4,169.35,10,7,5,0,0,57.3,57.53,suspicious,1,log_monitor,"Login node UNKNOWN-HOST: 4 failed attempts, 7 active connections, 10 file operations in session (after-hours=no).",
16,0,106.79,1,2,3,0,1,0.0,10.3,normal,0,log_monitor,"Login node WKSTN-01: 0 failed attempts, 2 active connections, 1 file operations in session (after-hours=no).",
9,0,27.68,4,4,0,0,1,48.0,10.28,normal,0,log_monitor,"Login node SRV-DB-PRIMARY: 0 failed attempts, 4 active connections, 4 file operations in session (after-hours=no).",
9,0,49.56,7,3,3,0,1,24.5,7.93,normal,0,file_scan,File access: /var/log/app/access.log touched 3 related files by LAPTOP-ADMIN at hour 09:00 (49.56MB transferred).,/var/log/app/access.log
12,0,24.97,3,4,6,0,1,0.5,17.9,normal,0,log_monitor,"Login node LAPTOP-ADMIN: 0 failed attempts, 4 active connections, 3 file operations in session (after-hours=no).",
9,0,9.1,5,2,1,0,1,29.8,8.07,normal,0,file_scan,File access: /home/user/notes/meeting_minutes.docx touched 1 related files by WKSTN-01 at hour 09:00 (9.1MB transferred).,/home/user/notes/meeting_minutes.docx
18,0,42.6,5,1,3,0,1,37.8,3.78,normal,0,log_monitor,"Login node SRV-DB-PRIMARY: 0 failed attempts, 1 active connections, 5 file operations in session (after-hours=no).",
8,0,45.01,3,3,2,0,1,45.8,11.04,normal,0,file_scan,File access: /home/user/downloads/invoice_1042.pdf touched 2 related files by WKSTN-01 at hour 08:00 (45.01MB transferred).,/home/user/downloads/invoice_1042.pdf
14,1,4.54,8,4,1,0,1,30.5,0.74,normal,0,log_monitor,"Login node SRV-DB-PRIMARY: 1 failed attempts, 4 active connections, 8 file operations in session (after-hours=no).",
9,7,434.54,18,11,9,0,0,32.0,93.95,critical,1,log_monitor,"Login node EXT-10.0.9.201: 7 failed attempts, 11 active connections, 18 file operations in session (after-hours=no).",
16,3,218.27,11,8,4,0,1,44.3,35.83,suspicious,1,file_scan,File access: /data/finance/payroll_2026.xlsx touched 4 related files by LAPTOP-ADMIN at hour 16:00 (218.27MB transferred).,/data/finance/payroll_2026.xlsx
11,2,426.86,13,7,3,0,1,29.7,41.13,suspicious,1,log_monitor,"Login node LAPTOP-ADMIN: 2 failed attempts, 7 active connections, 13 file operations in session (after-hours=no).",
15,0,30.65,3,3,1,0,1,16.2,9.66,normal,0,file_scan,File access: /home/user/reports/Q3_summary.pdf touched 1 related files by LAPTOP-ADMIN at hour 15:00 (30.65MB transferred).,/home/user/reports/Q3_summary.pdf
4,5,92.62,12,7,7,1,1,42.6,66.05,critical,1,log_monitor,"Login node SRV-DB-PRIMARY: 5 failed attempts, 7 active connections, 12 file operations in session (after-hours=yes).",
14,1,43.75,7,4,2,0,1,20.2,26.15,normal,0,file_scan,File access: /home/user/reports/Q3_summary.pdf touched 2 related files by LAPTOP-ADMIN at hour 14:00 (43.75MB transferred).,/home/user/reports/Q3_summary.pdf
18,1,12.22,0,4,4,0,1,14.9,21.3,normal,0,file_scan,File access: /home/user/notes/meeting_minutes.docx touched 4 related files by WKSTN-02 at hour 18:00 (12.22MB transferred).,/home/user/notes/meeting_minutes.docx
18,0,58.31,3,1,4,0,1,9.9,0.0,normal,0,file_scan,File access: /home/user/notes/meeting_minutes.docx touched 4 related files by SRV-DB-PRIMARY at hour 18:00 (58.31MB transferred).,/home/user/notes/meeting_minutes.docx
7,0,295.85,11,3,7,0,1,32.8,21.9,normal,0,file_scan,File access: /home/user/notes/meeting_minutes.docx touched 7 related files by SRV-DB-PRIMARY at hour 07:00 (295.85MB transferred).,/home/user/notes/meeting_minutes.docx
16,0,33.0,5,2,2,0,1,0.0,6.44,normal,0,log_monitor,"Login node LAPTOP-ADMIN: 0 failed attempts, 2 active connections, 5 file operations in session (after-hours=no).",
2,1,106.24,24,9,1,1,1,5.3,46.01,suspicious,1,log_monitor,"Login node SRV-DB-PRIMARY: 1 failed attempts, 9 active connections, 24 file operations in session (after-hours=yes).",
14,3,245.18,13,7,7,0,0,22.9,80.59,critical,1,file_scan,File access: /data/finance/tax_filings_2025.pdf touched 7 related files by EXT-10.0.9.201 at hour 14:00 (245.18MB transferred).,/data/finance/tax_filings_2025.pdf
10,0,14.23,5,1,3,0,1,0.0,7.34,normal,0,log_monitor,"Login node LAPTOP-ADMIN: 0 failed attempts, 1 active connections, 5 file operations in session (after-hours=no).",
17,0,6.02,2,3,1,0,1,22.3,13.03,normal,0,file_scan,File access: /home/user/downloads/invoice_1042.pdf touched 1 related files by SRV-DB-PRIMARY at hour 17:00 (6.02MB transferred).,/home/user/downloads/invoice_1042.pdf
13,0,19.41,2,2,1,0,1,57.7,2.65,normal,0,file_scan,File access: /tmp/build_cache/output.json touched 1 related files by LAPTOP-ADMIN at hour 13:00 (19.41MB transferred).,/tmp/build_cache/output.json
4,6,40.32,15,5,6,1,0,30.7,79.91,critical,1,log_monitor,"Login node UNKNOWN-HOST: 6 failed attempts, 5 active connections, 15 file operations in session (after-hours=yes).",
17,0,9.96,6,0,2,0,1,44.9,0.53,normal,0,log_monitor,"Login node LAPTOP-ADMIN: 0 failed attempts, 0 active connections, 6 file operations in session (after-hours=no).",
10,5,431.11,45,14,15,0,1,0.4,91.42,critical,1,file_scan,File access: /data/finance/tax_filings_2025.pdf touched 15 related files by WKSTN-02 at hour 10:00 (431.11MB transferred).,/data/finance/tax_filings_2025.pdf
15,0,19.28,4,4,1,0,1,49.6,5.21,normal,0,file_scan,File access: /home/user/downloads/invoice_1042.pdf touched 1 related files by WKSTN-01 at hour 15:00 (19.28MB transferred).,/home/user/downloads/invoice_1042.pdf
9,0,8.84,2,0,5,0,1,1.2,1.45,normal,0,file_scan,File access: /tmp/build_cache/output.json touched 5 related files by SRV-DB-PRIMARY at hour 09:00 (8.84MB transferred).,/tmp/build_cache/output.json
16,0,7.21,2,2,2,0,1,18.1,0.0,normal,0,log_monitor,"Login node SRV-DB-PRIMARY: 0 failed attempts, 2 active connections, 2 file operations in session (after-hours=no).",
15,0,48.83,4,4,4,0,1,3.0,7.46,normal,0,log_monitor,"Login node LAPTOP-ADMIN: 0 failed attempts, 4 active connections, 4 file operations in session (after-hours=no).",
15,0,17.86,3,0,3,0,1,36.8,5.0,normal,0,log_monitor,"Login node WKSTN-01: 0 failed attempts, 0 active connections, 3 file operations in session (after-hours=no).",
8,0,27.81,1,3,1,0,1,27.1,4.25,normal,0,log_monitor,"Login node WKSTN-02: 0 failed attempts, 3 active connections, 1 file operations in session (after-hours=no).",
12,0,19.75,6,6,4,0,1,0.5,14.63,normal,0,log_monitor,"Login node SRV-DB-PRIMARY: 0 failed attempts, 6 active connections, 6 file operations in session (after-hours=no).",
17,0,58.87,2,2,3,0,1,0.0,0.0,normal,0,log_monitor,"Login node WKSTN-02: 0 failed attempts, 2 active connections, 2 file operations in session (after-hours=no).",
19,6,371.79,30,16,17,0,0,28.8,100.0,critical,1,file_scan,File access: /data/finance/tax_filings_2025.pdf touched 17 related files by EXT-10.0.9.201 at hour 19:00 (371.79MB transferred).,/data/finance/tax_filings_2025.pdf
11,0,23.87,6,2,2,0,1,100.0,12.92,normal,0,file_scan,File access: /var/log/app/access.log touched 2 related files by LAPTOP-ADMIN at hour 11:00 (23.87MB transferred).,/var/log/app/access.log
13,0,71.88,5,4,2,0,1,32.3,10.94,normal,0,file_scan,File access: /home/user/downloads/invoice_1042.pdf touched 2 related files by WKSTN-02 at hour 13:00 (71.88MB transferred).,/home/user/downloads/invoice_1042.pdf
12,5,453.71,38,17,13,0,0,1.2,100.0,critical,1,file_scan,File access: /data/finance/payroll_2026.xlsx touched 13 related files by EXT-10.0.9.201 at hour 12:00 (453.71MB transferred).,/data/finance/payroll_2026.xlsx
12,4,1000.0,29,9,17,0,0,5.2,100.0,critical,1,file_scan,File access: /data/finance/payroll_2026.xlsx touched 17 related files by EXT-10.0.9.201 at hour 12:00 (1000.0MB transferred).,/data/finance/payroll_2026.xlsx
9,4,264.48,39,12,19,0,0,21.6,96.8,critical,1,file_scan,File access: /data/finance/tax_filings_2025.pdf touched 19 related files by EXT-192.168.77.14 at hour 09:00 (264.48MB transferred).,/data/finance/tax_filings_2025.pdf
19,4,271.55,12,9,7,0,1,43.1,57.81,suspicious,1,file_scan,File access: /data/hr/employee_records.db touched 7 related files by LAPTOP-ADMIN at hour 19:00 (271.55MB transferred).,/data/hr/employee_records.db
14,0,15.93,5,3,2,0,1,31.9,11.17,normal,0,log_monitor,"Login node SRV-DB-PRIMARY: 0 failed attempts, 3 active connections, 5 file operations in session (after-hours=no).",
12,1,30.29,4,4,3,0,1,47.6,18.05,normal,0,file_scan,File access: /home/user/downloads/invoice_1042.pdf touched 3 related files by SRV-DB-PRIMARY at hour 12:00 (30.29MB transferred).,/home/user/downloads/invoice_1042.pdf
1,3,172.96,16,8,10,1,0,18.7,78.85,critical,1,log_monitor,"Login node EXT-192.168.77.14: 3 failed attempts, 8 active connections, 16 file operations in session (after-hours=yes).",
15,0,76.93,4,3,0,0,1,69.7,0.0,normal,0,file_scan,File access: /tmp/build_cache/output.json touched 0 related files by LAPTOP-ADMIN at hour 15:00 (76.93MB transferred).,/tmp/build_cache/output.json
15,0,22.36,1,3,2,0,1,18.7,2.01,normal,0,log_monitor,"Login node WKSTN-01: 0 failed attempts, 3 active connections, 1 file operations in session (after-hours=no).",
11,0,5.27,1,6,2,0,1,0.0,8.69,normal,0,file_scan,File access: /home/user/notes/meeting_minutes.docx touched 2 related files by LAPTOP-ADMIN at hour 11:00 (5.27MB transferred).,/home/user/notes/meeting_minutes.docx
11,0,5.84,3,2,2,0,1,26.7,4.48,normal,0,file_scan,File access: /home/user/reports/Q3_summary.pdf touched 2 related files by LAPTOP-ADMIN at hour 11:00 (5.84MB transferred).,/home/user/reports/Q3_summary.pdf
9,0,94.47,3,2,1,0,1,31.9,0.0,normal,0,file_scan,File access: /var/log/app/access.log touched 1 related files by WKSTN-02 at hour 09:00 (94.47MB transferred).,/var/log/app/access.log
11,0,58.84,3,6,5,0,1,70.1,15.8,normal,0,log_monitor,"Login node WKSTN-02: 0 failed attempts, 6 active connections, 3 file operations in session (after-hours=no).",
13,0,24.32,5,5,1,0,1,15.8,13.49,normal,0,file_scan,File access: /var/log/app/access.log touched 1 related files by WKSTN-02 at hour 13:00 (24.32MB transferred).,/var/log/app/access.log
6,3,148.13,12,11,6,1,1,21.9,75.98,critical,1,log_monitor,"Login node WKSTN-01: 3 failed attempts, 11 active connections, 12 file operations in session (after-hours=yes).",
13,3,613.2,22,7,6,0,1,38.8,59.62,suspicious,1,file_scan,File access: /data/hr/employee_records.db touched 6 related files by SRV-DB-PRIMARY at hour 13:00 (613.2MB transferred).,/data/hr/employee_records.db
10,0,69.19,7,2,3,0,1,14.4,0.0,normal,0,log_monitor,"Login node WKSTN-02: 0 failed attempts, 2 active connections, 7 file operations in session (after-hours=no).",
9,1,15.78,1,3,3,0,1,24.2,0.0,normal,0,file_scan,File access: /home/user/notes/meeting_minutes.docx touched 3 related files by LAPTOP-ADMIN at hour 09:00 (15.78MB transferred).,/home/user/notes/meeting_minutes.docx
6,0,217.06,10,13,9,1,1,36.9,60.6,critical,1,log_monitor,"Login node SRV-DB-PRIMARY: 0 failed attempts, 13 active connections, 10 file operations in session (after-hours=yes).",
9,0,12.6,2,0,1,0,1,11.6,0.0,normal,0,file_scan,File access: /home/user/reports/Q3_summary.pdf touched 1 related files by SRV-DB-PRIMARY at hour 09:00 (12.6MB transferred).,/home/user/reports/Q3_summary.pdf
8,1,19.3,2,6,0,0,1,9.1,12.63,normal,0,file_scan,File access: /tmp/build_cache/output.json touched 0 related files by SRV-DB-PRIMARY at hour 08:00 (19.3MB transferred).,/tmp/build_cache/output.json
7,6,180.95,10,5,7,0,1,23.6,52.01,suspicious,1,log_monitor,"Login node LAPTOP-ADMIN: 6 failed attempts, 5 active connections, 10 file operations in session (after-hours=no).",
19,4,222.51,22,5,8,0,1,23.8,49.76,suspicious,1,log_monitor,"Login node SRV-DB-PRIMARY: 4 failed attempts, 5 active connections, 22 file operations in session (after-hours=no).",
12,0,56.41,1,3,0,0,1,45.1,13.38,normal,0,file_scan,File access: /home/user/downloads/invoice_1042.pdf touched 0 related files by WKSTN-01 at hour 12:00 (56.41MB transferred).,/home/user/downloads/invoice_1042.pdf
10,0,12.91,1,3,2,0,1,42.4,9.4,normal,0,log_monitor,"Login node LAPTOP-ADMIN: 0 failed attempts, 3 active connections, 1 file operations in session (after-hours=no).",
13,0,22.93,7,2,3,0,1,47.3,7.88,normal,0,file_scan,File access: /tmp/build_cache/output.json touched 3 related files by WKSTN-02 at hour 13:00 (22.93MB transferred).,/tmp/build_cache/output.json
8,7,453.93,35,20,12,0,0,19.1,100.0,critical,1,file_scan,File access: /etc/shadow touched 12 related files by EXT-192.168.77.14 at hour 08:00 (453.93MB transferred).,/etc/shadow
9,0,33.88,2,1,2,0,1,0.0,0.0,normal,0,file_scan,File access: /var/log/app/access.log touched 2 related files by WKSTN-01 at hour 09:00 (33.88MB transferred).,/var/log/app/access.log
13,0,11.22,3,2,0,0,1,36.8,13.04,normal,0,log_monitor,"Login node WKSTN-02: 0 failed attempts, 2 active connections, 3 file operations in session (after-hours=no).",
9,0,23.36,5,5,2,0,1,23.1,15.02,normal,0,log_monitor,"Login node SRV-DB-PRIMARY: 0 failed attempts, 5 active connections, 5 file operations in session (after-hours=no).",
16,0,31.04,2,1,1,0,1,45.1,5.69,normal,0,log_monitor,"Login node WKSTN-01: 0 failed attempts, 1 active connections, 2 file operations in session (after-hours=no).",
18,2,101.89,15,8,3,0,1,7.7,28.83,suspicious,1,log_monitor,"Login node WKSTN-01: 2 failed attempts, 8 active connections, 15 file operations in session (after-hours=no).",
0,2,115.1,13,9,3,1,1,21.9,45.16,suspicious,1,file_scan,File access: /data/finance/tax_filings_2025.pdf touched 3 related files by LAPTOP-ADMIN at hour 00:00 (115.1MB transferred).,/data/finance/tax_filings_2025.pdf
18,0,10.46,2,3,1,0,1,29.0,0.0,normal,0,log_monitor,"Login node WKSTN-01: 0 failed attempts, 3 active connections, 2 file operations in session (after-hours=no).",
15,0,40.02,5,1,4,0,1,37.2,1.8,normal,0,file_scan,File access: /home/user/reports/Q3_summary.pdf touched 4 related files by WKSTN-01 at hour 15:00 (40.02MB transferred).,/home/user/reports/Q3_summary.pdf
17,0,67.83,4,2,0,0,1,14.6,13.83,normal,0,log_monitor,"Login node LAPTOP-ADMIN: 0 failed attempts, 2 active connections, 4 file operations in session (after-hours=no).",
8,0,32.51,0,3,3,0,1,54.7,4.04,normal,0,log_monitor,"Login node WKSTN-02: 0 failed attempts, 3 active connections, 0 file operations in session (after-hours=no).",
15,0,21.88,3,8,4,0,1,3.4,5.75,normal,0,file_scan,File access: /home/user/downloads/invoice_1042.pdf touched 4 related files by LAPTOP-ADMIN at hour 15:00 (21.88MB transferred).,/home/user/downloads/invoice_1042.pdf
10,0,34.74,6,5,1,0,1,19.4,5.17,normal,0,log_monitor,"Login node LAPTOP-ADMIN: 0 failed attempts, 5 active connections, 6 file operations in session (after-hours=no).",
17,0,31.05,7,4,3,0,1,71.2,12.43,normal,0,log_monitor,"Login node LAPTOP-ADMIN: 0 failed attempts, 4 active connections, 7 file operations in session (after-hours=no).",
14,0,57.18,3,2,2,0,1,32.7,15.44,normal,0,log_monitor,"Login node LAPTOP-ADMIN: 0 failed attempts, 2 active connections, 3 file operations in session (after-hours=no).",
12,0,30.85,1,2,0,0,1,35.4,0.94,normal,0,log_monitor,"Login node LAPTOP-ADMIN: 0 failed attempts, 2 active connections, 1 file operations in session (after-hours=no).",
3,4,266.51,19,8,4,1,1,33.0,68.1,critical,1,file_scan,File access: /data/finance/payroll_2026.xlsx touched 4 related files by SRV-DB-PRIMARY at hour 03:00 (266.51MB transferred).,/data/finance/payroll_2026.xlsx
13,0,52.34,5,5,4,0,1,7.1,20.81,normal,0,file_scan,File access: /tmp/build_cache/output.json touched 4 related files by SRV-DB-PRIMARY at hour 13:00 (52.34MB transferred).,/tmp/build_cache/output.json
8,0,11.34,2,4,3,0,1,54.0,3.27,normal,0,log_monitor,"Login node LAPTOP-ADMIN: 0 failed attempts, 4 active connections, 2 file operations in session (after-hours=no).",
15,5,139.34,17,7,4,0,0,24.0,51.57,suspicious,1,log_monitor,"Login node EXT-192.168.77.14: 5 failed attempts, 7 active connections, 17 file operations in session (after-hours=no).",
15,0,16.27,7,2,2,0,1,10.6,11.05,normal,0,log_monitor,"Login node SRV-DB-PRIMARY: 0 failed attempts, 2 active connections, 7 file operations in session (after-hours=no).",
0,0,99.46,12,4,11,1,0,52.0,47.87,suspicious,1,file_scan,File access: /var/backups/customer_pii.csv touched 11 related files by EXT-10.0.9.201 at hour 00:00 (99.46MB transferred).,/var/backups/customer_pii.csv
18,0,34.11,1,4,1,0,1,16.4,14.77,normal,0,file_scan,File access: /home/user/downloads/invoice_1042.pdf touched 1 related files by WKSTN-01 at hour 18:00 (34.11MB transferred).,/home/user/downloads/invoice_1042.pdf
8,0,86.29,4,2,2,0,1,54.5,7.53,normal,0,file_scan,File access: /tmp/build_cache/output.json touched 2 related files by WKSTN-01 at hour 08:00 (86.29MB transferred).,/tmp/build_cache/output.json
18,0,31.28,2,7,0,0,1,16.2,13.59,normal,0,log_monitor,"Login node WKSTN-02: 0 failed attempts, 7 active connections, 2 file operations in session (after-hours=no).",
11,0,54.19,4,8,3,0,1,2.2,21.35,normal,0,log_monitor,"Login node SRV-DB-PRIMARY: 0 failed attempts, 8 active connections, 4 file operations in session (after-hours=no).",
19,8,590.2,39,15,22,0,0,18.6,100.0,critical,1,log_monitor,"Login node UNKNOWN-HOST: 8 failed attempts, 15 active connections, 39 file operations in session (after-hours=no).",
18,0,24.47,5,4,2,0,1,19.2,2.59,normal,0,file_scan,File access: /home/user/downloads/invoice_1042.pdf touched 2 related files by WKSTN-01 at hour 18:00 (24.47MB transferred).,/home/user/downloads/invoice_1042.pdf
16,0,23.64,4,1,0,0,1,19.5,10.12,normal,0,log_monitor,"Login node WKSTN-01: 0 failed attempts, 1 active connections, 4 file operations in session (after-hours=no).",
13,0,38.95,3,2,7,0,1,38.6,24.97,normal,0,log_monitor,"Login node WKSTN-02: 0 failed attempts, 2 active connections, 3 file operations in session (after-hours=no).",
17,1,4.37,3,4,1,0,1,3.5,16.55,normal,0,log_monitor,"Login node WKSTN-01: 1 failed attempts, 4 active connections, 3 file operations in session (after-hours=no).",
9,2,112.48,18,6,5,0,0,42.0,60.23,critical,1,file_scan,File access: /var/backups/customer_pii.csv touched 5 related files by EXT-10.0.9.201 at hour 09:00 (112.48MB transferred).,/var/backups/customer_pii.csv
9,1,23.77,4,2,2,0,1,31.2,10.68,normal,0,file_scan,File access: /home/user/downloads/invoice_1042.pdf touched 2 related files by WKSTN-01 at hour 09:00 (23.77MB transferred).,/home/user/downloads/invoice_1042.pdf
11,0,57.59,3,2,3,0,1,17.1,12.22,normal,0,file_scan,File access: /tmp/build_cache/output.json touched 3 related files by LAPTOP-ADMIN at hour 11:00 (57.59MB transferred).,/tmp/build_cache/output.json
21,8,298.05,34,15,11,1,0,28.0,100.0,critical,1,log_monitor,"Login node EXT-192.168.77.14: 8 failed attempts, 15 active connections, 34 file operations in session (after-hours=yes).",
14,0,36.63,3,1,1,0,1,0.0,0.92,normal,0,log_monitor,"Login node LAPTOP-ADMIN: 0 failed attempts, 1 active connections, 3 file operations in session (after-hours=no).",
11,0,22.54,5,3,2,0,1,48.9,6.58,normal,0,file_scan,File access: /home/user/notes/meeting_minutes.docx touched 2 related files by SRV-DB-PRIMARY at hour 11:00 (22.54MB transferred).,/home/user/notes/meeting_minutes.docx
18,1,9.64,4,0,1,0,1,17.8,5.31,normal,0,log_monitor,"Login node SRV-DB-PRIMARY: 1 failed attempts, 0 active connections, 4 file operations in session (after-hours=no).",
3,3,128.01,14,11,7,1,0,0.0,69.17,critical,1,file_scan,File access: /data/finance/tax_filings_2025.pdf touched 7 related files by UNKNOWN-HOST at hour 03:00 (128.01MB transferred).,/data/finance/tax_filings_2025.pdf
12,0,130.1,12,10,7,0,0,44.0,43.03,suspicious,1,file_scan,File access: /var/backups/customer_pii.csv touched 7 related files by EXT-192.168.77.14 at hour 12:00 (130.1MB transferred).,/var/backups/customer_pii.csv
15,0,37.89,5,0,1,0,1,41.6,0.4,normal,0,file_scan,File access: /home/user/notes/meeting_minutes.docx touched 1 related files by SRV-DB-PRIMARY at hour 15:00 (37.89MB transferred).,/home/user/notes/meeting_minutes.docx
10,4,302.99,6,11,1,0,1,17.2,40.94,suspicious,1,log_monitor,"Login node WKSTN-02: 4 failed attempts, 11 active connections, 6 file operations in session (after-hours=no).",
15,0,2.85,3,4,5,0,1,18.9,7.86,normal,0,file_scan,File access: /home/user/downloads/invoice_1042.pdf touched 5 related files by LAPTOP-ADMIN at hour 15:00 (2.85MB transferred).,/home/user/downloads/invoice_1042.pdf
10,0,24.06,1,4,2,0,1,25.5,0.0,normal,0,file_scan,File access: /var/log/app/access.log touched 2 related files by WKSTN-01 at hour 10:00 (24.06MB transferred).,/var/log/app/access.log
12,0,29.16,2,2,4,0,1,37.7,16.62,normal,0,file_scan,File access: /tmp/build_cache/output.json touched 4 related files by LAPTOP-ADMIN at hour 12:00 (29.16MB transferred).,/tmp/build_cache/output.json
0,3,489.77,12,7,3,1,1,10.4,50.31,suspicious,1,file_scan,File access: /data/finance/tax_filings_2025.pdf touched 3 related files by SRV-DB-PRIMARY at hour 00:00 (489.77MB transferred).,/data/finance/tax_filings_2025.pdf
16,1,187.64,14,8,10,0,0,31.8,59.96,suspicious,1,log_monitor,"Login node EXT-10.0.9.201: 1 failed attempts, 8 active connections, 14 file operations in session (after-hours=no).",
13,0,22.39,5,2,1,0,1,17.6,13.62,normal,0,log_monitor,"Login node WKSTN-02: 0 failed attempts, 2 active connections, 5 file operations in session (after-hours=no).",
17,0,51.15,2,3,0,0,1,18.8,0.4,normal,0,log_monitor,"Login node LAPTOP-ADMIN: 0 failed attempts, 3 active connections, 2 file operations in session (after-hours=no).",
16,0,51.37,4,3,1,0,1,58.8,0.0,normal,0,file_scan,File access: /home/user/reports/Q3_summary.pdf touched 1 related files by WKSTN-02 at hour 16:00 (51.37MB transferred).,/home/user/reports/Q3_summary.pdf
9,0,21.36,6,4,1,0,1,53.3,6.02,normal,0,log_monitor,"Login node WKSTN-02: 0 failed attempts, 4 active connections, 6 file operations in session (after-hours=no).",
13,0,17.84,2,5,3,0,1,18.6,2.98,normal,0,log_monitor,"Login node LAPTOP-ADMIN: 0 failed attempts, 5 active connections, 2 file operations in session (after-hours=no).",
10,0,8.64,5,5,2,0,1,41.2,7.89,normal,0,log_monitor,"Login node LAPTOP-ADMIN: 0 failed attempts, 5 active connections, 5 file operations in session (after-hours=no).",
16,0,11.44,4,0,3,0,1,46.5,1.74,normal,0,file_scan,File access: /var/log/app/access.log touched 3 related files by WKSTN-01 at hour 16:00 (11.44MB transferred).,/var/log/app/access.log
6,11,475.64,25,18,13,1,0,30.2,100.0,critical,1,log_monitor,"Login node UNKNOWN-HOST: 11 failed attempts, 18 active connections, 25 file operations in session (after-hours=yes).",
2,3,78.65,16,9,5,1,1,24.2,59.43,suspicious,1,log_monitor,"Login node WKSTN-01: 3 failed attempts, 9 active connections, 16 file operations in session (after-hours=yes).",
12,6,946.58,36,23,13,0,0,34.6,100.0,critical,1,log_monitor,"Login node EXT-10.0.9.201: 6 failed attempts, 23 active connections, 36 file operations in session (after-hours=no).",
14,0,20.05,6,6,1,0,1,26.7,12.22,normal,0,file_scan,File access: /home/user/notes/meeting_minutes.docx touched 1 related files by WKSTN-01 at hour 14:00 (20.05MB transferred).,/home/user/notes/meeting_minutes.docx
17,1,378.65,19,5,7,0,1,19.7,33.53,suspicious,1,log_monitor,"Login node WKSTN-02: 1 failed attempts, 5 active connections, 19 file operations in session (after-hours=no).",
12,0,25.29,5,6,2,0,1,27.1,4.79,normal,0,file_scan,File access: /home/user/notes/meeting_minutes.docx touched 2 related files by WKSTN-01 at hour 12:00 (25.29MB transferred).,/home/user/notes/meeting_minutes.docx
22,2,73.03,20,9,8,1,0,23.9,68.32,critical,1,log_monitor,"Login node EXT-192.168.77.14: 2 failed attempts, 9 active connections, 20 file operations in session (after-hours=yes).",
10,1,24.42,4,2,4,0,1,36.0,7.19,normal,0,log_monitor,"Login node WKSTN-02: 1 failed attempts, 2 active connections, 4 file operations in session (after-hours=no).",
9,0,27.01,3,3,1,0,1,34.7,3.86,normal,0,log_monitor,"Login node WKSTN-01: 0 failed attempts, 3 active connections, 3 file operations in session (after-hours=no).",
